Job Title,Salary,Company Name,Rating,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors,Lower Salary,Upper Salary,Avg Salary(K),Job Location
Data Scientist,$56K-$97K,"PNNL
3.8",3.8,"Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",56,97,76.5,WA
Data Scientist,$72K-$120K,"Amrock
3.6",3.6,"Detroit, MI",1001 - 5000 ,1997,Company - Private,Real Estate,Real Estate,$500 million to $1 billion (USD),-1,72,120,96,MI
Data Scientist / Machine Learning Expert,$86K-$143K,"Novartis
3.8",3.8,"Basel, Switzerland",10000+ ,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),-1,86,143,114.5,MA
Data Scientist,$93K-$149K,"Juniper Networks
3.8",3.8,"Sunnyvale, CA",5001 - 10000 ,1996,Company - Public,Telecommunications Services,Telecommunications,$2 to $5 billion (USD),-1,93,149,121,CA
Data Scientist,$85K-$140K,"New England Biolabs
4.7",4.7,"Ipswich, MA",201 - 500 ,1974,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,"Thermo Fisher Scientific, Enzymatics, Illumina",85,140,112.5,MA
Web Data Analyst,$77K-$135K,"Clarity Insights
4.2",4.2,"Chicago, IL",201 - 500 ,2008,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,77,135,106,CA
Data Scientist,$82K-$132K,"Esri
3.5",3.5,"Redlands, CA",1001 - 5000 ,1969,Company - Private,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),Pitney Bowes,82,132,107,CA
Data Scientist,$83K-$137K,"Systems & Technology Research
4.7",4.7,"Woburn, MA",201 - 500 ,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,83,137,110,MA
Senior Data Scientist,$115K-$180K,"Sartorius
3.5",3.5,"Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,115,180,147.5,CA
Data Engineer,$74K-$138K,"Lancer Insurance
3.5",3.5,"Long Beach, NY",201 - 500 ,1985,Company - Private,Insurance Carriers,Insurance,$100 to $500 million (USD),-1,74,138,106,NY
Data Analyst,$64K-$112K,"Sauce Labs
4.2",4.2,"San Francisco, CA",201 - 500 ,2008,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),"BrowserStack, Selenium Master, Perfecto Mobile",64,112,88,CA
Data Engineer,$68K-$129K,"Persivia
3.6",3.6,"Lowell, MA",Jan-50,-1,Company - Private,-1,-1,Less than $1 million (USD),-1,68,129,98.5,MA
Data Scientist - Algorithms & Inference,$110K-$175K,"Nuna
4.2",4.2,"San Francisco, CA",51 - 200 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,110,175,142.5,CA
Scientist,$52K-$113K,"Edgewell Personal Care
3.4",3.4,"Shelton, CT",5001 - 10000 ,2015,Company - Public,Consumer Products Manufacturing,Manufacturing,$2 to $5 billion (USD),"Unilever, Procter & Gamble, Henkel",52,113,82.5,NJ
Senior Data Scientist,$110K-$150K(Employer,"Equity Residential
4.3",4.3,"Chicago, IL",1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",110,150,130,IL
Data Scientist,Employer,"BPA Services
5.0",5,"Alexandria, VA",unknown,-1,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,150,160,155,DC
Lead Data Scientist,$158K-$211K,"Visa Inc.
3.7",3.7,"Foster City, CA",10000+ ,1958,Company - Public,IT Services,Information Technology,$10+ billion (USD),"American Express, Mastercard, Discover",158,211,184.5,WA
Associate Data Analyst,$20K-$39K,"Intrado
3.1",3.1,"Omaha, NE",5001 - 10000 ,1986,Company - Private,Enterprise Software & Network Solutions,Information Technology,$2 to $5 billion (USD),-1,20,39,29.5,CO
Spectral Scientist/Engineer,$56K-$117K,"Centauri
4.7",4.7,"Chantilly, VA",501 - 1000 ,1999,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),"TASC, Vencore, Booz Allen Hamilton",56,117,86.5,OH
College Hire - Data Scientist - Open to December 2019 Graduates,$63K-$99K,"Caterpillar
3.7",3.7,"Deerfield, IL",10000+ ,1925,Company - Public,Industrial Manufacturing,Manufacturing,$10+ billion (USD),"John Deere, Komatsu, CNH Industrial",63,99,81,IL
Data Scientist,$68K-$114K,"Zimmerman Advertising
3.8",3.8,"Fort Lauderdale, FL",501 - 1000 ,1984,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1,68,114,91,FL
"Data Scientist, Office of Data Science",$86K-$143K,"Liberty Mutual Insurance
3.3",3.3,"Boston, MA",10000+ ,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm",86,143,114.5,MA
Data Science Analyst,$41K-$95K,"Torch Technologies, Inc.
4.6",4.6,"Huntsville, AL",1001 - 5000 ,2002,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),-1,41,95,68,AL
Data Scientist,$86K-$144K,"Swiss Re
3.7",3.7,"Zurich, Switzerland",10000+ ,1863,Company - Public,Insurance Agencies & Brokerages,Insurance,$10+ billion (USD),"Munich Re, Hannover RE, SCOR",86,144,115,NY
Data Scientist,$80K-$139K,"Northrop Grumman
3.7",3.7,"Falls Church, VA",10000+ ,1939,Company - Public,Aerospace & Defense,Aerospace & Defense,$10+ billion (USD),-1,80,139,109.5,CA
Data Scientist,$56K-$95K,"Sartorius
3.5",3.5,"Gottingen, Germany",5001 - 10000 ,1870,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $2 billion (USD),-1,56,95,75.5,NM
Data Scientist,$120K-$189K,"Netskope
4.1",4.1,"Santa Clara, CA",501 - 1000 ,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,"Skyhigh Networks, Zscaler, NortonLifeLock",120,189,154.5,CA
Data Scientist,$111K-$176K,"1904labs
4.7",4.7,"Saint Louis, MO",51 - 200 ,2016,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Slalom, Daugherty Business Solutions",111,176,143.5,MO
Data Scientist,$54K-$93K,"ClearOne Advantage
4.1",4.1,"Baltimore, MD",501 - 1000 ,2008,Company - Private,Banks & Credit Unions,Finance,Unknown / Non-Applicable,-1,54,93,73.5,MD
Data Scientist,$71K-$119K,"CyrusOne
3.4",3.4,"Dallas, TX",201 - 500 ,2000,Company - Public,Real Estate,Real Estate,$1 to $2 billion (USD),"Digital Realty, CoreSite, Equinix",71,119,95,TX
Senior Data Scientist,$82K-$132K,"The David J. Joseph Company
4.4",4.4,"Cincinnati, OH",201 - 500 ,1885,Subsidiary or Business Segment,Metals Brokers,Mining & Metals,Unknown / Non-Applicable,-1,82,132,107,OH
Data Scientist,$84K-$146K,"USEReady
4.3",4.3,"New York, NY",201 - 500 ,2011,Company - Private,Consulting,Business Services,$10 to $25 million (USD),-1,84,146,115,NY
Senior Risk Data Scientist,$107K-$172K,"Bill.com
3.8",3.8,"Palo Alto, CA",501 - 1000 ,2006,Company - Public,Financial Transaction Processing,Finance,$50 to $100 million (USD),-1,107,172,139.5,CA
Data Scientist in Artificial Intelligence Early Career,$49K-$85K,"Pacific Northwest National Laboratory
3.8",3.8,"Richland, WA",1001 - 5000 ,1965,Government,Energy,"Oil, Gas, Energy & Utilities",$500 million to $1 billion (USD),"Oak Ridge National Laboratory, National Renewable Energy Lab, Los Alamos National Laboratory",49,85,67,WA
Data Scientist,$61K-$109K,"DICK'S Sporting Goods - Corporate
3.8",3.8,"Coraopolis, PA",10000+ ,1948,Company - Public,Sporting Goods Stores,Retail,$5 to $10 billion (USD),"REI, Academy Sports + Outdoors, Cabela's",61,109,85,PA
Data Scientist,$88K-$148K,"Berg Health
2.8",2.8,"Framingham, MA",51 - 200 ,2006,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),-1,88,148,118,MA
Data Scientist,$60K-$99K,"Oversight Systems
4.7",4.7,"Atlanta, GA",51 - 200 ,2003,Company - Private,Computer Hardware & Software,Information Technology,$25 to $50 million (USD),-1,60,99,79.5,GA
Data Scientist - Research,$41K-$72K,"C Space
3.1",3.1,"Boston, MA",201 - 500 ,1999,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),"IDEO, Gongos, Inc., Ipsos",41,72,56.5,MA
Data Scientist,$96K-$161K,"Numeric, LLC
3.2",3.2,"Chadds Ford, PA",Jan-50,-1,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),-1,96,161,128.5,PA
R&D Data Analysis Scientist,$65K-$130K,"HP Inc.
4.0",4,"Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,65,130,97.5,WA
Analytics Consultant,$52K-$81K,"SpringML
4.4",4.4,"Pleasanton, CA",Jan-50,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,52,81,66.5,IN
"Director, Data Science",$139K-$220K,"Grainger
3.6",3.6,"Lake Forest, IL",10000+ ,1927,Company - Public,Wholesale,Business Services,$10+ billion (USD),-1,139,220,179.5,IL
Scientist,$50K-$102K,"EAG Laboratories
2.7",2.7,"San Diego, CA",501 - 1000 ,1978,Subsidiary or Business Segment,Research & Development,Business Services,$50 to $100 million (USD),-1,50,102,76,MO
Data Scientist SR,$85K-$139K,"The Buffalo Group
3.9",3.9,"Reston, VA",501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",85,139,112,VA
Data Scientist,$74K-$122K,"Carmeuse
3.1",3.1,"Louvain-la-Neuve, Belgium",1001 - 5000 ,1860,Company - Private,Mining,Mining & Metals,$1 to $2 billion (USD),"Lhoist, Graymont, Sibelco Group",74,122,98,PA
R&D Sr Data Scientist,$99K-$157K,"HP Inc.
4.0",4,"Palo Alto, CA",10000+ ,1939,Company - Public,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,-1,99,157,128,WA
Customer Data Scientist/Sales Engineer (Bay,$79K-$222K,"h2o.ai
4.3",4.3,"Mountain View, CA",201 - 500 ,2011,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,79,222,150.5,CA
Research Scientist,$57K-$118K,"GNS Healthcare
1.9",1.9,"Cambridge, MA",51 - 200 ,2000,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10 to $25 million (USD),-1,57,118,87.5,MA
Data Scientist,$83K-$137K,"Peraton
3.3",3.3,"Herndon, VA",1001 - 5000 ,2017,Company - Private,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),-1,83,137,110,VA
Data Scientist,$86K-$141K,"Pactera
4.4",4.4,"Beijing, China",10000+ ,1995,Company - Private,IT Services,Information Technology,$500 million to $1 billion (USD),"Infosys, EPAM, Accenture",86,141,113.5,CA
Data Scientist,$94K-$154K,"Nurx
3.9",3.9,"San Francisco, CA",51 - 200 ,2016,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),-1,94,154,124,CA
Jr. Business Data Analyst,$37K-$76K,"webfx.com
4.7",4.7,"Harrisburg, PA",201 - 500 ,1997,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1,37,76,56.5,PA
Data Scientist,$100K-$160K,"Johns Hopkins University Applied Physics Laboratory
4.5",4.5,"Laurel, MD",5001 - 10000 ,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman",100,160,130,MD
Data Analyst,$55K-$100K,"Productive Edge
4.3",4.3,"Chicago, IL",51 - 200 ,2008,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),"Numerator, Rise Interactive, Salom",55,100,77.5,IL
Data Engineer,$60K-$114K,"Excella Consulting
4.0",4,"Arlington, VA",201 - 500 ,2002,Company - Private,Consulting,Business Services,$50 to $100 million (USD),-1,60,114,87,VA
Data Analyst,$39K-$68K,"Gensco
4.4",4.4,"Tacoma, WA",501 - 1000 ,1948,Company - Private,Wholesale,Business Services,$100 to $500 million (USD),-1,39,68,53.5,WA
Staff Data Scientist - Technology,$106K-$172K,"Walmart
3.2",3.2,"Bentonville, AR",10000+ ,1962,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"Target, Costco Wholesale, Amazon",106,172,139,TX
Data Scientist,$86K-$142K,"Logic20/20
3.8",3.8,"Seattle, WA",201 - 500 ,2005,Company - Private,Consulting,Business Services,$25 to $50 million (USD),-1,86,142,114,CA
Data Scientist,$64K-$107K,"goTRG
4.2",4.2,"Miami, FL",501 - 1000 ,2008,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),-1,64,107,85.5,FL
Data Management Specialist,$31K-$65K,"NMR Consulting
4.5",4.5,"Chantilly, VA",51 - 200 ,1996,Company - Private,IT Services,Information Technology,$25 to $50 million (USD),-1,31,65,48,AL
E-Commerce Data Analyst,$34K-$62K,"iSeatz
3.5",3.5,"New Orleans, LA",51 - 200 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,34,62,48,LA
Sr. Scientist II,$117K-$231K,"Nektar Therapeutics
3.5",3.5,"San Francisco, CA",201 - 500 ,1990,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),"Bristol-Myers Squibb, Merck, GlaxoSmithKline",117,231,174,CA
Insurance Data Scientist,$64K-$106K,"TransUnion
3.9",3.9,"Chicago, IL",5001 - 10000 ,1968,Company - Public,Financial Analytics & Research,Finance,$1 to $2 billion (USD),-1,64,106,85,GA
Data Modeler,$79K-$134K,"IT Concepts
4.7",4.7,"Vienna, VA",51 - 200 ,2003,Company - Private,IT Services,Information Technology,$10 to $25 million (USD),-1,79,134,106.5,MD
Data Analyst / Scientist,$52K-$93K,"Scientific Research Corporation
4.2",4.2,"Atlanta, GA",1001 - 5000 ,1988,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),-1,52,93,72.5,MD
Scientist,$55K-$116K,"General Dynamics Information Technology
3.4",3.4,"Fairfax, VA",10000+ ,1996,Subsidiary or Business Segment,IT Services,Information Technology,$10+ billion (USD),"SAIC, Leidos, Northrop Grumman",55,116,85.5,MD
Data Scientist,$72K-$123K,"MITRE
3.2",3.2,"Bedford, MA",5001 - 10000 ,1958,Nonprofit Organization,Federal Agencies,Government,$1 to $2 billion (USD),"Battelle, General Atomics, SAIC",72,123,97.5,VA
Data Scientist,$74K-$124K,"The Buffalo Group
3.9",3.9,"Reston, VA",501 - 1000 ,2010,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"ManTech, Booz Allen Hamilton, Leidos",74,124,99,VA
Data Analyst,$40K-$73K,"DentaQuest
3.1",3.1,"Boston, MA",1001 - 5000 ,2001,Company - Private,Insurance Carriers,Insurance,$2 to $5 billion (USD),"MCNA Dental Plans, United Concordia, Delta Dental Plans Association",40,73,56.5,WI
Lead Data Scientist,$102K-$164K,"Redjack
4.1",4.1,"Silver Spring, MD",Jan-50,2007,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,-1,102,164,133,MD
Data Scientist,$89K-$153K,"7Park Data
3.8",3.8,"New York, NY",51 - 200 ,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,-1,89,153,121,NY
Data Scientist,$61K-$110K,"Rapid Response Monitoring
4.7",4.7,"Syracuse, NY",501 - 1000 ,1992,Company - Private,Security Services,Business Services,Unknown / Non-Applicable,"COPS Monitoring, National Monitoring Center, Affiliated Monitoring",61,110,85.5,NY
"Data Scientist, Rice University",$65K-$110K,"Trilogy Ed
4.3",4.3,"New York, NY",1001 - 5000 ,2015,Subsidiary or Business Segment,Education Training Services,Education,Unknown / Non-Applicable,"General Assembly, Kaplan University, Ironhack",65,110,87.5,TX
Senior Data Scientist,$200K-$275K(Employer,"Gallup
4.2",4.2,"Washington, DC",1001 - 5000 ,1935,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,"Advisory Board, Booz Allen Hamilton, McKinsey & Company",200,275,237.5,DC
Data Engineer,$68K-$123K,"CapTech
3.9",3.9,"Richmond, VA",1001 - 5000 ,1997,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"Accenture, North Highland, Deloitte",68,123,95.5,NC
Senior Data Scientist,$80K-$129K,"American Axle & Manufacturing
3.3",3.3,"Detroit, MI",10000+ ,1994,Company - Public,Transportation Equipment Manufacturing,Manufacturing,$5 to $10 billion (USD),-1,80,129,104.5,MI
Financial Data Analyst,$41K-$72K,"CentralReach
4.7",4.7,"Pompano Beach, FL",201 - 500 ,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,"DataFinch Technologies, Accupoint Software Solution, CodeMetro",41,72,56.5,NJ
Senior Data Analyst,$39K-$71K,"Integrate
4.3",4.3,"Phoenix, AZ",201 - 500 ,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$25 to $50 million (USD),-1,39,71,55,AZ
Research Scientist,$38K-$85K,"Boys Town Hospital
2.9",2.9,"Omaha, NE",1001 - 5000 ,1977,Hospital,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Nebraska Medicine, Children's Hospital & Medical Center, Methodist Health System - NE and IA",38,85,61.5,NE
Data Scientist,$121K-$193K,"Demandbase
4.5",4.5,"San Francisco, CA",201 - 500 ,2006,Company - Private,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Engagio, Bombora, Terminus",121,193,157,CA
Data Engineer,$54K-$102K,"Sapphire Digital
3.4",3.4,"Lyndhurst, NJ",201 - 500 ,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,"Zocdoc, Healthgrades",54,102,78,NJ
Data Scientist,$83K-$144K,"Takeda Pharmaceuticals
3.7",3.7,"OSAKA, Japan",10000+ ,1781,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),"Novartis, Baxter, Pfizer",83,144,113.5,MA
Data Scientist,$120K-$160K,"<intent>
4.6",4.6,"New York, NY",51 - 200 ,2009,Company - Private,Internet,Information Technology,$100 to $500 million (USD),"Clicktripz, SmarterTravel",120,160,140,NY
Data Scientist,$102K-$163K,"Formation
3.2",3.2,"San Francisco, CA",51 - 200 ,2015,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,102,163,132.5,CA
Data Engineer,$76K-$140K,"Autodesk
4.0",4,"San Rafael, CA",5001 - 10000 ,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),-1,76,140,108,CA
Ag Data Scientist,$60K-$101K,"Beck's Hybrids
4.6",4.6,"Atlanta, IN",501 - 1000 ,1937,Company - Private,Farm Support Services,Agriculture & Forestry,$50 to $100 million (USD),-1,60,101,80.5,IN
Data Scientist,$82K-$133K,"DrFirst
2.8",2.8,"Rockville, MD",201 - 500 ,2000,Company - Private,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,-1,82,133,107.5,MD
Data Engineer,$65K-$125K,"Object Partners
4.7",4.7,"Minneapolis, MN",51 - 200 ,1996,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Solution Design Group, Intertech (Minnesota)",65,125,95,MN
Data Scientist II,$91K-$148K,"L.A. Care Health Plan
3.0",3,"Los Angeles, CA",1001 - 5000 ,1997,Nonprofit Organization,Health Care Services & Hospitals,Health Care,Unknown / Non-Applicable,"Health Net, Kaiser Permanente, Molina Healthcare",91,148,119.5,CA
Senior Data Engineer,$95K-$173K,"Red Ventures
3.2",3.2,"Fort Mill, SC",1001 - 5000 ,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Clearlink, Credit Karma, LendingTree",95,173,134,NC
Data Scientist,$77K-$124K,"Quick Base
4.4",4.4,"Cambridge, MA",201 - 500 ,1999,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,-1,77,124,100.5,MA
Data Scientist,$80K-$135K,"The E.W. Scripps Company
3.5",3.5,"Cincinnati, OH",1001 - 5000 ,1878,Company - Public,TV Broadcast & Cable Networks,Media,$500 million to $1 billion (USD),-1,80,135,107.5,OH
Data Engineer,$85K-$159K,"Upside Business Travel
4.0",4,"Washington, DC",51 - 200 ,2015,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,-1,85,159,122,DC
Data Engineer,$80K-$105K(Employer,"Equity Residential
4.3",4.3,"Chicago, IL",1001 - 5000 ,1993,Company - Public,Real Estate,Real Estate,$2 to $5 billion (USD),"UDR, AvalonBay Communities, Essex Property Trust",80,105,92.5,IL
