Year,Hobbyist,Income,Country,EdLevel,Employment,JobSat,OrgSize,UndergradMajor,YearsCodePro,Data scientist or machine learning specialist,Database administrator
2017,"Yes, I program as a hobby",75757.57576,Canada,Bachelor's degree,Employed full-time,9,"5,000 to 9,999 employees",Computer engineering or electrical/electronics engineering,4,1,0
2017,"Yes, I program as a hobby",75000,United States,Bachelor's degree,Employed full-time,8,"1,000 to 4,999 employees",Information systems,8,1,0
2017,"Yes, both",69892.47312,Germany,Doctoral degree,Employed full-time,7,20 to 99 employees,Natural science,20,1,0
2017,No,89393.93939,Canada,Bachelor's degree,Employed full-time,9,2 to 9 employees,Computer science,15,1,1
2017,"Yes, I program as a hobby",98484.84848,Australia,Master's degree,Employed full-time,3,"10,000 or more employees",Computer programming or Web development,8,1,0
2017,"Yes, I contribute to open source projects",2936.426369,India,Bachelor's degree,Employed full-time,8,20 to 99 employees,Computer programming or Web development,2,0,1
2017,"Yes, I contribute to open source projects",28708.13397,Mexico,Bachelor's degree,Employed full-time,8,500 to 999 employees,Computer science,5,1,1
2017,"Yes, I program as a hobby",80000,Switzerland,Bachelor's degree,Employed full-time,8,100 to 499 employees,Computer science,9,1,0
2017,"Yes, both",8809.279107,India,Bachelor's degree,Employed full-time,6,20 to 99 employees,Computer science,4,1,0
2017,No,32300.69006,India,Master's degree,Employed full-time,4,"10,000 or more employees",Computer science,11,1,0
2017,"Yes, I program as a hobby",22436.61656,Indonesia,Bachelor's degree,Employed full-time,10,10 to 19 employees,Information systems,12,1,0
2017,"Yes, both",3902.714932,Sweden,Bachelor's degree,Employed full-time,6,"1,000 to 4,999 employees",Computer science,6,0,1
2017,"Yes, both",1500,Afghanistan,Bachelor's degree,Employed full-time,9,"10,000 or more employees",Computer programming or Web development,4,0,1
2017,"Yes, I program as a hobby",53010.75269,Germany,Master's degree,Employed full-time,8,20 to 99 employees,Computer programming or Web development,4,0,1
2017,"Yes, I contribute to open source projects",1114.649682,Brazil,some college,Employed full-time,10,10 to 19 employees,Computer science,5,1,1
2017,"Yes, I program as a hobby",47311.82796,Spain,Doctoral degree,Employed full-time,9,20 to 99 employees,Computer engineering or electrical/electronics engineering,6,1,0
2017,"Yes, both",29569.89247,Slovenia,Master's degree,Employed full-time,8,20 to 99 employees,Computer science,1,1,0
2017,No,46451.6129,Germany,Master's degree,Employed full-time,6,2 to 9 employees,Humanities,6,0,1
2017,"Yes, I program as a hobby",6606.95933,India,Bachelor's degree,Employed full-time,10,100 to 499 employees,Information systems,6,1,1
2017,"Yes, I program as a hobby",59139.78495,Spain,Master's degree,Employed full-time,5,100 to 499 employees,Computer science,16,1,0
2017,No,48812.5,United Kingdom,Master's degree,Employed full-time,8,500 to 999 employees,Computer science,7,0,1
2017,No,36363.63636,Singapore,some college,Employed full-time,8,20 to 99 employees,Fine arts or performing arts,8,1,0
2017,"Yes, both",75000,United Kingdom,some college,Employed full-time,7,"10,000 or more employees",Computer programming or Web development,16,0,1
2017,"Yes, I program as a hobby",19354.83871,Italy,Master's degree,Employed full-time,7,2 to 9 employees,Natural science,9,0,1
2017,"Yes, I contribute to open source projects",46236.55914,Germany,Master's degree,Employed full-time,8,2 to 9 employees,Another engineering discipline,20,0,1
2017,"Yes, both",69892.47312,Netherlands,Doctoral degree,Employed full-time,8,"1,000 to 4,999 employees",Business,6,1,0
2017,"Yes, both",40860.21505,France,Master's degree,Employed full-time,6,20 to 99 employees,Mathematics or statistics,3,0,1
2017,"Yes, I program as a hobby",64516.12903,Austria,Master's degree,Employed full-time,8,100 to 499 employees,Computer science,5,0,1
2017,"Yes, both",32258.06452,France,Master's degree,Employed full-time,8,I don't know,Computer science,2,0,1
2017,"Yes, I program as a hobby",18279.56989,Ireland,Secondary school,Employed part-time,7,20 to 99 employees,,1,0,1
2017,"Yes, I contribute to open source projects",96774.19355,Denmark,Bachelor's degree,Employed full-time,10,20 to 99 employees,Something else,,0,1
2017,"Yes, I program as a hobby",49382.71605,Poland,Master's degree,Employed full-time,9,"1,000 to 4,999 employees",Computer science,7,1,0
2017,No,50000,United Kingdom,Bachelor's degree,Employed full-time,7,"1,000 to 4,999 employees",Humanities,8,0,1
2017,"Yes, both",53763.44086,Germany,Master's degree,Employed full-time,8,"1,000 to 4,999 employees",Natural science,3,1,0
2017,"Yes, both",1720.430108,Germany,Secondary school,Employed full-time,8,2 to 9 employees,,2,0,1
2017,"Yes, both",26881.72043,Netherlands,some college,Employed full-time,6,10 to 19 employees,Computer science,3,1,1
2017,"Yes, I program as a hobby",37634.4086,Slovenia,Master's degree,Employed full-time,6,"1,000 to 4,999 employees",Business,11,0,1
2017,No,49382.71605,Poland,Master's degree,Employed full-time,7,100 to 499 employees,Computer science,13,0,1
2017,"Yes, I program as a hobby",62500,United Kingdom,Master's degree,Employed full-time,5,20 to 99 employees,Humanities,18,0,1
2017,"Yes, I program as a hobby",2760.215054,Estonia,some college,Employed full-time,6,20 to 99 employees,Computer science,4,0,1
2017,No,26881.72043,Italy,Bachelor's degree,Employed full-time,6,"10,000 or more employees",Computer science,1,0,1
2017,"Yes, both",32258.06452,Germany,Bachelor's degree,Employed full-time,6,100 to 499 employees,Computer science,3,0,1
2017,No,1720.430108,Greece,Bachelor's degree,Employed full-time,7,"1,000 to 4,999 employees",Computer science,10,0,1
2017,"Yes, both",16040.10025,Russian Federation,Master's degree,Employed full-time,5,"1,000 to 4,999 employees",Computer science,10,1,0
2017,"Yes, both",19354.83871,Spain,Bachelor's degree,Employed full-time,4,100 to 499 employees,Computer science,5,1,0
2017,"Yes, both",52115.00043,Japan,some college,Employed full-time,7,2 to 9 employees,Another engineering discipline,14,0,1
2017,"Yes, I contribute to open source projects",50000,United Kingdom,Secondary school,Employed full-time,7,2 to 9 employees,,14,0,1
2017,"Yes, I program as a hobby",18279.56989,Croatia,Master's degree,Employed full-time,8,"10,000 or more employees",Computer science,3,0,1
2017,"Yes, both",53763.44086,Slovenia,Bachelor's degree,Employed full-time,8,2 to 9 employees,Computer science,14,1,1
2017,No,22580.64516,Spain,some college,Employed part-time,7,20 to 99 employees,Computer science,2,0,1
2017,"Yes, I contribute to open source projects",43750,United Kingdom,Secondary school,Employed full-time,7,20 to 99 employees,,4,0,1
2017,"Yes, both",28387.09677,Netherlands,Master's degree,Employed full-time,8,"5,000 to 9,999 employees",Computer science,6,1,0
2017,"Yes, both",45000,Spain,Bachelor's degree,Employed full-time,8,"10,000 or more employees",Computer science,11,1,0
2017,"Yes, both",73118.27957,Germany,Master's degree,Employed full-time,8,10 to 19 employees,Computer science,9,0,1
2017,No,30997.30458,Israel,Bachelor's degree,Employed full-time,7,"1,000 to 4,999 employees",Computer science,5,1,0
2017,"Yes, I program as a hobby",58064.51613,Germany,Master's degree,Employed full-time,9,100 to 499 employees,Computer science,11,1,1
2017,"Yes, both",72268.8172,Netherlands,some college,Employed full-time,5,100 to 499 employees,Computer science,20,0,1
2017,"Yes, I program as a hobby",75000,United Kingdom,some college,Employed full-time,7,"10,000 or more employees",Computer science,20,0,1
2017,"Yes, I program as a hobby",65789.47368,Norway,Master's degree,Employed full-time,7,2 to 9 employees,Mathematics or statistics,4,1,1
2017,"Yes, both",32500,United Kingdom,some college,Employed full-time,9,20 to 99 employees,Information systems,15,0,1
2017,No,61085.97285,Sweden,Master's degree,Employed full-time,7,20 to 99 employees,Computer science,4,0,1
2017,"Yes, I program as a hobby",15053.76344,Spain,some college,Employed full-time,4,"10,000 or more employees",Computer programming or Web development,3,0,1
2017,"Yes, both",120000,United States,Doctoral degree,Employed full-time,9,"5,000 to 9,999 employees",Computer science,20,1,0
2017,No,41250,United Kingdom,Bachelor's degree,Employed full-time,6,"1,000 to 4,999 employees",Information systems,15,0,1
2017,"Yes, I program as a hobby",34408.60215,Romania,Bachelor's degree,Employed full-time,9,"1,000 to 4,999 employees",Computer science,7,1,0
2017,"Yes, I program as a hobby",45161.29032,Germany,Master's degree,Employed full-time,6,100 to 499 employees,Another engineering discipline,4,1,0
2017,No,100000,United States,Doctoral degree,Employed full-time,10,2 to 9 employees,Natural science,8,1,0
2017,"Yes, both",95693.7799,Norway,Master's degree,Employed full-time,5,100 to 499 employees,Computer science,12,1,0
2017,No,28817.2043,Germany,Secondary school,Employed full-time,4,"1,000 to 4,999 employees",,5,0,1
2017,"Yes, both",70000,United States,Bachelor's degree,Employed full-time,9,20 to 99 employees,Computer science,3,1,0
